date,GDP,annual_percent_change
2000-12-31,2.7194,0.98
2001-12-31,2.5251,-0.19
2002-12-31,2.2584,-0.27
2003-12-31,2.7586,0.5
2004-12-31,1.8573,-0.9
2005-12-31,2.2136,0.36
2006-12-31,2.002,-0.21
2007-12-31,2.1384,0.14
2008-12-31,2.3703,0.23
2009-12-31,0.2995,-2.07
2010-12-31,1.7769,1.48
2011-12-31,2.9121,1.14
2012-12-31,1.5157,-1.4
2013-12-31,0.9383,-0.58
2014-12-31,1.9066,0.97
2015-12-31,1.1252,-0.78
2016-12-31,1.4288,0.3
2017-12-31,1.5969,0.17
2018-12-31,2.2682,0.67
2019-12-31,1.9493,-0.32
2020-12-31,0.717,-1.23
2021-12-31,3.3952,2.68
2022-12-31,6.8028,3.41
2023-12-31,3.879,-2.92
